Afghanistan:	Stray Dogs
Albania:	Change
Algeria:	The Harem of Madame Osmane
American Samoa:	Seki A Oe A Crazy Samoan Love Story
Andorra:	The Burning Cold
Angola:	Liberdade
Anguilla:	Our Anguilla
Antarctica:	Lilliput in Antarctica
Antigua and Barbuda:	Hooked
Argentina:	Piazzolla The Years of the Shark
Armenia:	Lost in Armenia
Aruba:	Unstoppable
Australia:	Late Night with the Devil
Austria:	Harodim
Azerbaijan:	Cold as Marble
Bahamas:	Love at Sea
Bahrain:	One Day on Earth
Bangladesh:	The Salt in Our Waters
Barbados:	Into the Darkness
Belarus:	Ivan  Abraham
Belgium:	Golden Youth
Belize:	Yai Wanonabalewa The Enemy God
Benin:	Arlit The Second Paris
Bermuda:	By Any Means
Bhutan:	Travellers and Magicians
Bolivia:	Maleficarum
Bosnia and Herzegovina:	Our Everyday Life
Botswana:	The Last Lions
Brazil:	Power Alley
British Indian Ocean Territory:	The Last Maneater Killer Tigers of India
British Virgin Islands:	Virgin Island
Brunei Darussalam:	Echoes from the Minaret
Bulgaria:	The Lark Farm
Burkina Faso:	Samba Traor
Burundi:	A Colorful life
Cambodia:	Cher  the Loneliest Elephant
Cameroon:	The Great White of Lambarene
Canada:	A Gift of Miracles
Cape Verde:	Napomucenos Will
Cayman Islands:	Exploring Bloody Bay Wall
Central African Republic:	Song from the Forest
Chad:	Hissein Habr A Chadian Tragedy
Chile:	The Year of the Everlasting Storm
China:	Bounty Hunters
Colombia:	Everybody Leaves
Comoros:	Ylang Ylang Residence
Congo:	Lumumba Death of a Prophet
Cook Islands:	Kia Orana
Costa Rica:	Leaves of K
Cote D'Ivoire:	Aya of Yop City
Croatia:	Fury of the Demon
Cuba:	Santa  Andres
Cyprus:	The Man with the Answers
Czech Republic:	Fair Play
Czechoslovakia:	Tich Amerian v Praze
Denmark:	Dalecarlians
Djibouti:	One Day on Earth
Dominica:	Uncivilized
Dominican Republic:	El fantasma de mi novia
East Germany:	In the Dust of the Stars
Ecuador:	Camino a la libertad
Egypt:	Sawah
El Salvador:	Wild El Salvador In the Shadow of the Volcanoes
Equatorial Guinea:	El Limpiabotas
Eritrea:	Minister
Estonia:	The Singing Revolution
Ethiopia:	A Walk to Beautiful
Faeroe Islands:	Bye Bye Blue Bird
Falkland Islands:	Fuckland
Fiji:	Kumu Hina
Finland:	Beauty and the Bastard
France:	Idiot in Paris
French Guiana:	Beautiful
French Polynesia:	Savages The Story of Human Zoos
Gabon:	The Rhythm of My Life Ismael Sankara
Gambia:	One Day on Earth
Georgia:	Wet Sand
Germany:	White Hell of Pitz Palu
Ghana:	The Burial of Kojo
Gibraltar:	Alexander Povetkin vs Dillian Whyte II
Greece:	Strella
Greenland:	Heart of Light
Grenada:	Grenada Confronting the Past
Guadaloupe:	La Soufrire
Guam:	Shiros Head
Guatemala:	Creedacio I
